Topic, Top Word
0,zy02c#308.33080032443877;巴音郭楞蒙古自治州#196.7494033189186;尉犁县#160.99295190502917;pms#154.33079900273685;gf2#142.3166272775558;pms2#40.186899301326974;阿克苏地区#16.220073075467507;和硕县#14.243982433448599;若羌县#13.115096403121415;吐鲁番地区#12.62183843971526;沙雅县#12.212325658096047;托克逊县#6.318182746835784;吐鲁番市#5.314655883309987;17#5.089257842589386;14#4.301718765020364;库车县#4.233588110767869;15#4.198001067966797;22#2.327397911795834;35#1.32844216756579;11#0.4395054185917029;库尔勒市#0.38771412831521856;博湖县#0.3774577333336574;轮台县#0.3739935582458843;且末县#0.3710143756461518;pms1#0.3623884917948511;33#0.3605868160742526;鄯善县#0.3516247783275872;36#0.3370800137173361;gf1#0.33542342258921787;tlc#0.33453219168332277;zy3#0.3345273228183283;mux#0.33452621610546435;30#0.3337742943860526;16#0.33369013111155077;34#0.33367029503900725;23#0.3336681106993414;19#0.33366716848521033;28#0.3336663182246205;18#0.33365460497930577;
1,gf1#312.3307218355783;巴音郭楞蒙古自治州#161.453241883547;pms1#103.30315288919213;尉犁县#101.46527157669954;pms2#84.4786617335064;且末县#25.290558644063807;若羌县#17.893725721094302;库尔勒市#14.206156744178854;轮台县#12.45302965944723;33#6.305608327601999;18#5.331319165899101;36#5.3292740892101085;28#4.332696853560932;19#3.3326921912572316;30#3.3325998946056052;11#3.2264686981665864;和硕县#2.3772436371585584;23#2.3326989020218805;34#2.3326682303612642;16#2.332661556172346;17#1.5767061661489823;35#1.3374804161196876;15#0.46794737573885503;博湖县#0.44122904403840263;沙雅县#0.43410615352899345;阿克苏地区#0.4264180994085216;库车县#0.4119192264741157;14#0.3644382934460558;吐鲁番市#0.35141086023887613;gf2#0.3490294297243908;托克逊县#0.3479010675043609;吐鲁番地区#0.3474823427090385;pms#0.33517760182100603;zy02c#0.3351766472014083;tlc#0.3347660085373671;zy3#0.3344247026092672;mux#0.3342188176705261;鄯善县#0.3340494000108199;22#0.33389991537447716;
2,zy3#474.33104797457196;巴音郭楞蒙古自治州#214.79735479753344;尉犁县#147.5417765182705;mux#147.33125496622378;tlc#90.33070179977898;若羌县#43.9911778757835;鄯善县#19.31432582166119;吐鲁番地区#18.030679217575063;博湖县#16.181313222627203;轮台县#6.172976782306171;库尔勒市#0.40612912750520214;和硕县#0.3787739293921123;库车县#0.3544926627573902;沙雅县#0.3535681883743232;阿克苏地区#0.3535088251233409;22#0.33870217282935483;且末县#0.3384269802896086;18#0.33502622912135527;pms1#0.33445861901263657;pms2#0.3344389651660984;gf2#0.33434329271948793;35#0.3340774163139608;15#0.33405155629380606;17#0.33403599126110023;11#0.33402588324118154;pms#0.3340233954418637;zy02c#0.33402302835936415;吐鲁番市#0.33393325645076727;托克逊县#0.33391618565949954;gf1#0.3338547418321738;14#0.3338429415331733;33#0.333804856323387;34#0.3336614745994915;16#0.3336483127158666;36#0.3336458970723064;19#0.3336406402573268;28#0.3336368282142181;23#0.33363298727854174;30#0.3336258110081101;
